Location;Latitude;Longitude;Size;Soil;SoilType
SIC_15_122;46.93820134221704;23.937608797112023;100;Preluvosol;7
SIC_1_123;46.93672425924936;23.941821471097917;100;Regosol;0
SIC_22_124;46.93689099675268;23.945511975426935;100;Antrosol;10
SIC_16_125;46.939907084890194;23.93275253981002;100;Preluvosol;7
SIC_8_126;46.94174172460441;23.92923481753553;100;Faeoziom;4
SIC_21_127;46.94247965586632;23.925196359197184;100;Solonet;9
SIC_18_128;46.942833042952486;23.921646379850237;100;Preluvosol;7
SIC_22_129;46.941439060676515;23.915872532552882;100;Antrosol;10
SIC_16_130;46.93792769943073;23.925622516853913;100;Preluvosol;7
SIC_20_131;46.93864796091711;23.907712712772916;100;Gleiosol;8
SIC_2_132;46.93675082140436;23.912316996566904;100;Regosol;0
SIC_17_133;46.938995793367496;23.914035115098837;100;Preluvosol;7
SIC_16_134;46.93654103294929;23.916007572320776;100;Preluvosol;7
SIC_17_135;46.93379356263611;23.91169933174487;100;Preluvosol;7
SIC_5_136;46.93474506654104;23.91693297587245;100;Aluviosol;2
SIC_24_137;46.93296809205941;23.924670690807467;100;Antrosol;10
SIC_20_138;46.93140979062716;23.92918414544905;100;Gleiosol;8
SIC_17_139;46.92963614272995;23.92472044377184;100;Preluvosol;7
SIC_15_140;46.92829910363159;23.92965174789989;100;Preluvosol;7
SIC_21_141;46.928634469652394;23.939369350577284;100;Solonet;9
SIC_16_142;46.92942602398867;23.902838795614766;100;Preluvosol;7
SIC_15_143;46.92954433478829;23.905178334937897;100;Preluvosol;7
SIC_1_144;46.930761076105824;23.906852255291525;100;Regosol;0
SIC_23_145;46.92920288000636;23.90833409783774;100;Antrosol;10
SIC_17_146;46.926743078946515;23.912835386086254;100;Preluvosol;7
SIC_14_147;46.92959895089106;23.917352122088253;100;Eutricambosol;6
SIC_18_148;46.92579232487634;23.919797377325963;100;Preluvosol;7
SIC_22_149;46.92597774477005;23.924782215152177;100;Antrosol;10
SIC_16_150;46.92418881827953;23.925155718204277;100;Preluvosol;7
SIC_10_151;46.92450570168856;23.93160296228891;100;Faeoziom;5
SIC_23_152;46.922227057108984;23.92181015190741;100;Antrosol;10
SIC_15_153;46.924373002820715;23.916002784728914;100;Preluvosol;7
SIC_22_154;46.92395032502964;23.91176607803528;100;Antrosol;10
SIC_16_155;46.92312160537904;23.907687431799772;100;Preluvosol;7
SIC_16_156;46.92347442106035;23.903052678785713;100;Preluvosol;7
SIC_22_157;46.92076992780295;23.905503622295072;100;Antrosol;10
SIC_2_158;46.918836006018466;23.908449845156913;100;Regosol;0
SIC_21_159;46.919577828800584;23.915105281706264;100;Solonet;9
SIC_1_160;46.91944063364167;23.921947648548777;100;Regosol;0
SIC_16_161;46.9216287668678;23.93588900148299;100;Preluvosol;7
SIC_5_162;46.920604131464586;23.933794518183703;100;Aluviosol;2
SIC_2_163;46.91701188959908;23.93570659113367;100;Regosol;0
SIC_22_164;46.91442055363791;23.935165842026624;100;Antrosol;10
SIC_17_165;46.91371519897427;23.9335794233936;100;Preluvosol;7
SIC_21_166;46.915491286356996;23.93200897451531;100;Solonet;9
SIC_10_167;46.917086389812454;23.92854125266714;100;Faeoziom;5
SIC_16_168;46.91606754760656;23.91945710918213;100;Preluvosol;7
SIC_21_169;46.912073619413206;23.908012026537367;100;Solonet;9
SIC_23_170;46.913193743444964;23.90403631144476;100;Antrosol;10
SIC_8_171;46.910482838276664;23.901418299113008;100;Faeoziom;4
SIC_20_172;46.90704905164745;23.900998296293906;100;Gleiosol;8
SIC_21_173;46.90467241422593;23.902540381989084;100;Solonet;9
SIC_8_174;46.9083737063188;23.909490696263024;100;Faeoziom;4
SIC_17_175;46.90735366576871;23.912820009997247;100;Preluvosol;7
SIC_6_176;46.906694514412436;23.916231863773817;100;Faeoziom;3
SIC_13_177;46.90344164133086;23.913394949077677;100;Eutricambosol;6
SIC_20_178;46.91045132526261;23.917320910425175;100;Gleiosol;8
SIC_5_179;46.91119919927411;23.920196342097373;100;Aluviosol;2
SIC_1_180;46.90955888086344;23.925815519001965;100;Regosol;0
SIC_22_181;46.90699046627509;23.92984820246533;100;Antrosol;10
SIC_3_182;46.90453923136374;23.93647645951957;100;Aluviosol;1
SIC_16_183;46.904802791830065;23.924720947687042;100;Preluvosol;7
SIC_13_184;46.90839835329837;23.918177424774452;100;Eutricambosol;6
SIC_14_185;46.90326219662293;23.92053155191395;100;Eutricambosol;6
SIC_13_186;46.90251576271737;23.926235300681515;100;Eutricambosol;6
SIC_15_187;46.90167798919106;23.916582781632844;100;Preluvosol;7
SIC_24_188;46.9004516401144;23.911726166075955;100;Antrosol;10
SIC_22_189;46.89460537094959;23.922711553088984;100;Antrosol;10
SIC_5_190;46.897167961097296;23.912332697491514;100;Aluviosol;2
SIC_19_191;46.899611242503795;23.906029668077245;100;Gleiosol;8
SIC_11_192;46.90196931916728;23.897742257396434;100;Eutricambosol;6
SIC_17_193;46.90069958807868;23.900464359856795;100;Preluvosol;7
SIC_2_194;46.89877897839867;23.90192616781335;100;Regosol;0
SIC_16_195;46.89677480268355;23.90328347721391;100;Preluvosol;7
SIC_17_196;46.89486599135611;23.90403130091837;100;Preluvosol;7
SIC_11_197;46.89428206296128;23.906823379905955;100;Eutricambosol;6
SIC_4_198;46.893815956392416;23.91313822656802;100;Aluviosol;1
SIC_17_199;46.888898910135026;23.92023592095194;100;Preluvosol;7
SIC_19_200;46.88846444838944;23.924462416748945;100;Gleiosol;8
